Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00188643436581484,7.91792044075358E-07,-0.0101107102609225,0,0,0,0.0547254839327603,3.01578866609305E-05,2.7592251225088E-11,5.77313895814659E-06,4.6585768516949E-05,-3.08656421613151E-11,1.82716186853849E-05,0,0,0,0,0,0,package://simple_hand/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/base_link.STL,,Part60^MH_Hand_FullAssem-1;Palm^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-7;Copy of Part47^MH_Hand_FullAssem-8;Copy of Part47^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-6;Copy of Part47^MH_Hand_FullAssem-4;Copy of Part47^MH_Hand_FullAssem-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_1,0.0048085282615066,0.0155683292090754,-9.38862231650911E-05,0,0,0,0.00714658380829061,3.26626039983406E-07,9.21851511766135E-08,7.28401970577157E-11,4.93450737768554E-07,1.16674127798342E-10,6.67805464749945E-07,0,0,0,0,0,0,package://simple_hand/meshes/thumb_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/thumb_1.STL,,Copy of Part48^MH_Hand_FullAssem-6;Copy of Part48^MH_Hand_FullAssem-8;ThumbPart1^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-11,Origin_thumb_palm2,Axis_thumb_palm2,thumb_palm,continuous,-0.031,-0.0001,0,1.3963,1.5708,0,base_link,1,0,0,,,,,,,,,,,,
thumb_2,-0.0580525842144156,0.0245170365772038,0.006002121572846,0,0,0,0.00309410697808252,9.86716393307871E-08,-6.5838141715037E-09,4.76941858010047E-11,8.17761446626134E-08,1.44734613015409E-11,1.17680540570393E-07,0,0,0,0,0,0,package://simple_hand/meshes/thumb_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/thumb_2.STL,,Part55^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-11;Copy of Part47^MH_Hand_FullAssem-20,Origin_thumb_12,,thumb_12,continuous,0.00074168,-0.025588,-0.0138,-2.8356,0.43178,-1.5075,thumb_1,1,0,0,,,,,,,,,,,,
thumb_3,-0.0683569874934216,0.0647531465127789,0.00599440013402127,0,0,0,0.00324861748801508,1.31829885963988E-07,2.37227938008643E-08,1.16060719333074E-12,8.56030195353301E-08,9.31995554585114E-13,1.54481533062546E-07,0,0,0,0,0,0,package://simple_hand/meshes/thumb_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/thumb_3.STL,,Part58^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-20,Origin_thumb_23,,thumb_23,continuous,0.010488,-0.0027249,0.0098784,0.031976,-0.17161,0.12773,thumb_2,1,0,0,,,,,,,,,,,,
index_1,0.000100909995287481,0.0101314105773068,-0.00308812397054953,0,0,0,0.00331457639559618,1.2323138903352E-07,-6.25998515372946E-22,5.10066448911204E-22,8.32166997991831E-08,-2.40399550653692E-20,1.40564829901929E-07,0,0,0,0,0,0,package://simple_hand/meshes/index_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/index_1.STL,,Copy of Part48^MH_Hand_FullAssem-1;FingerJoint1^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-15,Origin_index_palm,Axis_middle_palm,index_palm,continuous,-0.0299,0.0029,0.043,1.5708,0,3.1416,base_link,-1,0,0,,,,,,,,,,,,
index_2,8.81239705526511E-05,0.0101314105773068,-0.00291187602944456,0,0,0,0.00331457639559618,1.2323138903352E-07,-6.31587710794479E-22,5.08654247771648E-22,8.32166997991831E-08,-2.39865496563743E-20,1.40564829901929E-07,0,0,0,0,0,0,package://simple_hand/meshes/index_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/index_2.STL,,Copy of Part48^MH_Hand_FullAssem-12;FingerJoint1^MH_Hand_FullAssem-5;Copy of Part47^MH_Hand_FullAssem-16,Origin_index_12,,index_12,continuous,0.0002,0.03,0,0,0,0,index_1,1,0,0,,,,,,,,,,,,
index_3,-9.48443246826143E-05,0.0116226051015444,-0.00309484432468261,0,0,0,0.00352502395351663,1.85717997302154E-07,-3.18200470047261E-23,-5.94013478540175E-24,8.01006878176001E-08,-5.7268420109026E-23,1.97300854531169E-07,0,0,0,0,0,0,package://simple_hand/meshes/index_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/index_3.STL,,Copy of Part48^MH_Hand_FullAssem-16;fingrTip^MH_Hand_FullAssem-1,Origin_index_23,,index_23,fixed,0,0.03,0,0,0,0,index_2,0,0,0,,,,,,,,,,,,
middle_1,-0.0075009099952875,0.0146314105773069,8.8123970549539E-05,0,0,0,0.00331457639559618,1.2323138903352E-07,6.27050527505397E-22,5.23464626399803E-22,8.32166997991831E-08,2.39628438573508E-20,1.40564829901929E-07,0,0,0,0,0,0,package://simple_hand/meshes/middle_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/middle_1.STL,,FingerJoint1^MH_Hand_FullAssem-2;Copy of Part48^MH_Hand_FullAssem-3;Copy of Part47^MH_Hand_FullAssem-14,Origin_middle_palm,Axis_middle_palm,middle_palm,continuous,-0.003,0.0001,0.0435,-3.1416,0,0,base_link,1,0,0,,,,,,,,,,,,
middle_2,0.000100909995287488,0.0101314105773067,-0.00291187602944463,0,0,0,0.00331457639559618,1.2323138903352E-07,-6.67723660396906E-22,5.12480192862445E-22,8.32166997991831E-08,-2.35948874118925E-20,1.40564829901929E-07,0,0,0,0,0,0,package://simple_hand/meshes/middle_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/middle_2.STL,,Copy of Part48^MH_Hand_FullAssem-13;FingerJoint1^MH_Hand_FullAssem-6;Copy of Part47^MH_Hand_FullAssem-17,Origin_middle_12,,middle_12,continuous,-0.0076,0.033,0.0045,1.5708,0,3.1416,middle_1,1,0,0,,,,,,,,,,,,
middle_3,-9.48443246826126E-05,0.0116226051015443,-0.00290515567531748,0,0,0,0.00352502395351663,1.85717997302153E-07,1.03160885509049E-22,-1.87278463224465E-23,8.01006878176002E-08,9.5434799558797E-22,1.97300854531168E-07,0,0,0,0,0,0,package://simple_hand/meshes/middle_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand/meshes/middle_3.STL,,Copy of Part48^MH_Hand_FullAssem-17;fingrTip^MH_Hand_FullAssem-2,Origin_middle_23,,middle_23,fixed,0.0002,0.03,0,0,0,0,middle_2,0,0,0,,,,,,,,,,,,
