Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00188643436581484,7.91792044075349E-07,-0.0101107102609225,0,0,0,0.0547254839327603,3.01578866609305E-05,2.75922512250193E-11,5.77313895814659E-06,4.6585768516949E-05,-3.08656421612924E-11,1.82716186853849E-05,0,0,0,0,0,0,package://simple_hand_5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/base_link.STL,,Palm^MH_Hand_FullAssem-1;Part60^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-7;Copy of Part47^MH_Hand_FullAssem-8;Copy of Part47^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-3;Copy of Part47^MH_Hand_FullAssem-4;Copy of Part47^MH_Hand_FullAssem-6,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_1,0.00656446410149199,0.00282639091707574,0.0153481144781045,0,0,0,0.00714658380829061,3.28914052674748E-07,-3.19687494176202E-08,-8.92562543532266E-08,6.60299918641596E-07,-3.39907364457903E-08,4.98668271185561E-07,0,0,0,0,0,0,package://simple_hand_5/meshes/thumb_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/thumb_1.STL,,ThumbPart1^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-6;Copy of Part48^MH_Hand_FullAssem-8;Copy of Part47^MH_Hand_FullAssem-11,Origin_t_p,Axis_t_p,thumb_palm,continuous,-0.031,0,-0.0115,1.5708,-1.5232,-1.5708,base_link,0.99887,0.047565,0,,,,,,,,,,,,
thumb_2,-0.000102121572845965,-0.00217472327567361,0.012595104514116,0,0,0,0.00309410697808252,1.17680540570393E-07,4.78391767561254E-11,1.39867654791037E-11,8.75805619352312E-08,1.03790100805231E-08,9.28672220581694E-08,0,0,0,0,0,0,package://simple_hand_5/meshes/thumb_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/thumb_2.STL,,Part55^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-11;Copy of Part47^MH_Hand_FullAssem-20,Origin_t_12,Axis_t_12,thumb_12,continuous,0.024224,0.0052935,0.025382,0.85599,0.59602,1.2791,thumb_1,1,0,0,,,,,,,,,,,,
thumb_3,-9.44001340211012E-05,0.000348151680325703,0.0149921053155283,0,0,0,0.00324861748801509,1.54481533062546E-07,1.31041991197193E-12,-7.05991802677412E-13,1.38772740672812E-07,-1.39147869891025E-08,7.86601648265061E-08,0,0,0,0,0,0,package://simple_hand_5/meshes/thumb_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/thumb_3.STL,,Part58^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-20,Origin_t_23,Axis_t_23,thumb_23,continuous,-0.00021585,-0.0073345,0.025772,0.26232,0.045694,-0.1685,thumb_2,1,0,0,,,,,,,,,,,,
index_1,-0.000100909995287488,-8.81239705495312E-05,0.0146314105773068,0,0,0,0.00331457639559618,1.2323138903352E-07,-5.10048425602026E-22,6.26173426863822E-22,1.40564829901929E-07,-2.40449794199163E-20,8.32166997991831E-08,0,0,0,0,0,0,package://simple_hand_5/meshes/index_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/index_1.STL,,FingerJoint1^MH_Hand_FullAssem-1;Copy of Part48^MH_Hand_FullAssem-1;Copy of Part47^MH_Hand_FullAssem-15,Origin_i_p,Axis_i_p,index_palm,continuous,-0.0299,-0.000100000000000094,0.0385,0,0,0,base_link,1,0,0,,,,,,,,,,,,
index_2,-8.81239705526511E-05,8.81239705554417E-05,0.0146314105773068,0,0,0,0.00331457639559618,1.2323138903352E-07,-5.08712711187573E-22,6.31594302457078E-22,1.40564829901929E-07,-2.3991825209698E-20,8.32166997991831E-08,0,0,0,0,0,0,package://simple_hand_5/meshes/index_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/index_2.STL,,FingerJoint1^MH_Hand_FullAssem-5;Copy of Part48^MH_Hand_FullAssem-12;Copy of Part47^MH_Hand_FullAssem-16,Origin_i_12,Axis_i_12,index_12,continuous,-0.000199999999999954,0,0.03,0,0,0,index_1,1,0,0,,,,,,,,,,,,
index_3,9.48443246826178E-05,-9.48443246826158E-05,0.0161226051015444,0,0,0,0.00352502395351663,1.85717997302154E-07,6.14468395293522E-24,3.18734172922331E-23,1.97300854531169E-07,-4.20529993328854E-23,8.01006878176001E-08,0,0,0,0,0,0,package://simple_hand_5/meshes/index_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/index_3.STL,,Copy of Part48^MH_Hand_FullAssem-16;fingrTip^MH_Hand_FullAssem-1,Origin_i_23,Axis_i_23,index_23,fixed,0,0,0.03,0,0,0,index_2,0,0,0,,,,,,,,,,,,
middle_1,-0.000100909995287489,-8.81239705493853E-05,0.0146314105773068,0,0,0,0.00331457639559618,1.2323138903352E-07,-5.09096000185458E-22,6.33570028542927E-22,1.40564829901929E-07,-2.39760052887731E-20,8.32166997991831E-08,0,0,0,0,0,0,package://simple_hand_5/meshes/middle_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/middle_1.STL,,FingerJoint1^MH_Hand_FullAssem-2;Copy of Part48^MH_Hand_FullAssem-3;Copy of Part47^MH_Hand_FullAssem-14,Origin_m_p,Axis_m_p,middle_palm,continuous,-0.0104,9.99999999997445E-05,0.0435,0,0,0,base_link,1,0,0,,,,,,,,,,,,
middle_2,-0.000100909995287486,8.81239705554263E-05,0.0146314105773068,0,0,0,0.00331457639559618,1.2323138903352E-07,-5.09099193868169E-22,6.16644623926683E-22,1.40564829901928E-07,-2.40115634515997E-20,8.32166997991831E-08,0,0,0,0,0,0,package://simple_hand_5/meshes/middle_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/middle_2.STL,,FingerJoint1^MH_Hand_FullAssem-6;Copy of Part48^MH_Hand_FullAssem-13;Copy of Part47^MH_Hand_FullAssem-17,Origin_m_12,Axis_m_12,middle_12,revolute,-0.0002,0,0.03,0,0,0,middle_1,1,0,0,0,0,-1.5708,0,,,,,,,,
middle_3,9.4844324682623E-05,9.48443246826267E-05,0.0161226051015443,0,0,0,0.00352502395351663,1.85717997302155E-07,-1.782444112259E-24,-1.37156296528957E-23,1.97300854531171E-07,-3.01893462654807E-23,8.01006878176001E-08,0,0,0,0,0,0,package://simple_hand_5/meshes/middle_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_hand_5/meshes/middle_3.STL,,fingrTip^MH_Hand_FullAssem-2;Copy of Part48^MH_Hand_FullAssem-17,Origin_m_23,Axis_m_23,middle_23,fixed,-0.0002,0,0.03,0,0,0,middle_2,0,0,0,,,,,,,,,,,,
